Chromosome,Bin,geneDensity
BhD1,16525001-16550000,0.60352
BhD1,16550001-16575000,0.35332
BhD1,16575001-16600000,0.0398
BhD1,16600001-16625000,0.02924
BhD1,16625001-16650000,0.1368
BhD1,16650001-16675000,0.12284
BhD1,16675001-16700000,0.41484
BhD1,16700001-16725000,0.81896
BhD1,16725001-16750000,0.55508
BhD1,16750001-16775000,0.56228
BhD1,16775001-16800000,0.43308
BhD1,16800001-16825000,0.66556
BhD1,16825001-16850000,0.74176
BhD1,16850001-16875000,0.4702
BhD1,16875001-16900000,0.75928
BhD1,16900001-16925000,0.25176
BhD1,16925001-16950000,0.35416
BhD1,16950001-16975000,0.7014
BhD1,16975001-17000000,0.50564
BhD1,17000001-17025000,0.45556
BhD1,17025001-17050000,0.18036
BhD1,17050001-17075000,0.27956
BhD1,17075001-17100000,0.17748
BhD1,17100001-17125000,0.6572
BhD1,17125001-17150000,0.44136
BhD1,17150001-17175000,0.38176
BhD1,17175001-17200000,0.52052
BhD1,17200001-17225000,0.41592
BhD1,17225001-17250000,0.2652
BhD1,17250001-17275000,0.47468
BhD1,17275001-17300000,0.75976
BhD1,17300001-17325000,0.44424
BhD1,17325001-17350000,0.58572
BhD1,17350001-17375000,0.39408
BhD1,17375001-17400000,0.6296
BhD1,17400001-17425000,0.31128
BhD1,17425001-17450000,0
BhD1,17450001-17475000,0.24644
BhD1,17475001-17500000,0.65468
BhD1,17500001-17525000,0.66264
BhD1,17525001-17550000,0.8768
BhD1,17550001-17575000,0.49012
BhD1,17575001-17600000,0.33956
BhD1,17600001-17625000,0.58044
BhD1,17625001-17650000,0.12872
BhD1,17650001-17675000,0.39416
BhD1,17675001-17700000,0.65404
BhD1,17700001-17725000,0.5754
BhD1,17725001-17750000,0.14528
BhD1,17750001-17775000,0.27912
BhD1,17775001-17800000,0.2564
BhD1,17800001-17825000,0.16072
BhD1,17825001-17850000,0.36344
BhD1,17850001-17875000,0.5548
BhD1,17875001-17900000,0.40296
BhD1,17900001-17925000,0.7918
BhD1,17925001-17950000,0.66732
BhD1,17950001-17975000,0.21848
BhD1,17975001-18000000,0.37196
BhD1,18000001-18025000,0.39492
BhD1,18025001-18050000,0.53808
BhD1,18050001-18075000,0.52328
BhD1,18075001-18100000,0.17212
BhD1,18100001-18125000,0.22732
BhD1,18125001-18150000,0.35912
BhD1,18150001-18175000,0.58332
BhD1,18175001-18200000,0.34376
BhD1,18200001-18225000,0.40232
BhD1,18225001-18250000,0.36728
BhD1,18250001-18275000,0.59008
BhD1,18275001-18300000,0.37868
BhD1,18300001-18325000,0.45756
BhD1,18325001-18350000,0.5028
BhD1,18350001-18375000,0.57196
BhD1,18375001-18400000,0.44524
BhD1,18400001-18425000,0.42828
BhD1,18425001-18450000,0.55496
BhD1,18450001-18475000,0.46768
BhD1,18475001-18500000,0.09672
BhD1,18500001-18525000,0.32076
BhD1,18525001-18550000,0.53212
BhD1,18550001-18575000,0.42576
BhD1,18575001-18600000,0.11216
BhD1,18600001-18625000,0.44348
BhD1,18625001-18650000,0.06692
BhD1,18650001-18675000,0.19228
BhD1,18675001-18700000,0.79172
BhD1,18700001-18725000,0.51124
BhD1,18725001-18750000,0.12764
BhD1,18750001-18775000,0.4174
BhD1,18775001-18800000,0.7022
BhD1,18800001-18825000,0.4948
BhD1,18825001-18850000,0
BhD1,18850001-18875000,0.43816
BhD1,18875001-18900000,0.62264
BhD1,18900001-18925000,0.44468
BhD1,18925001-18950000,0.65312
BhD1,18950001-18975000,0.44736
BhD1,18975001-19000000,0.35868
BhD1,19000001-19025000,0.43488
BhD1,19025001-19050000,0.44804
BhD1,19050001-19075000,0.4382
BhD1,19075001-19100000,0.39932
BhD1,19100001-19125000,0.45748
BhD1,19125001-19150000,0.81796
BhD1,19150001-19175000,0.36708
BhD1,19175001-19200000,0.54024
BhD1,19200001-19225000,0.85044
BhD1,19225001-19250000,0.35972
BhD1,19250001-19275000,0.3662
BhD1,19275001-19300000,0.6958
BhD1,19300001-19325000,0.56256
BhD1,19325001-19350000,0.69092
BhD1,19350001-19375000,0.45768
BhD1,19375001-19400000,0.35068
BhD1,19400001-19425000,0.2236
BhD1,19425001-19450000,0.55172
BhD1,19450001-19475000,0.14132
BhD1,19475001-19500000,0.30628
BhD1,19500001-19525000,0.1874
BhD1,19525001-19550000,0.29008
BhD1,19550001-19575000,0.522
